global_step,epoch,step_in_epoch,mean,median,std,min,max,skewness,kurtosis
10.0,0.0,10.0,2.2818526303569477,2.2728482484817505,0.09833812738146544,2.024946689605713,2.6631927490234375,0.5988223284789018,0.3639202713174421
20.0,0.0,20.0,2.2325591575145722,2.2254111766815186,0.11835033661024774,1.9275717735290527,2.6555442810058594,0.6467599264383304,0.6069192911597621
30.0,0.0,30.0,2.173188813275099,2.1667935848236084,0.14957330335849864,1.7882788181304932,2.637509346008301,0.25777850763757737,-0.2255136999651559
40.0,0.0,40.0,2.098036397788922,2.134984850883484,0.22540498050290333,1.3974262475967407,2.7034125328063965,-0.7166394744842369,0.10171075319456158
50.0,0.0,50.0,1.997239892955621,2.021557569503784,0.25543258763673227,1.1172491312026978,2.8474044799804688,-0.6538870412935329,0.42833632182858805
60.0,0.0,60.0,1.8723184365063905,1.9049054980278015,0.3321607066180977,0.7850394248962402,3.018563985824585,-0.5311874725844931,0.13536485568167844
70.0,0.0,70.0,1.7016175727501512,1.7217321395874023,0.37847542699573644,0.43741053342819214,3.454596757888794,-0.46873902862848843,0.5405145377755174
80.0,0.0,80.0,1.5041323662857216,1.5379638075828552,0.4921788227209895,0.19296301901340485,4.312139987945557,-0.07708630105103075,0.016882422041476275
90.0,0.0,90.0,1.2952465131070465,1.2604650259017944,0.5494406009414472,0.09626103937625885,5.335372447967529,0.5207483248846044,0.7764299378743016
100.0,0.0,100.0,1.104261262223559,1.0293721556663513,0.5916858925295746,0.05234859138727188,6.320972442626953,0.9017426483530007,1.5719574206077809
110.0,0.0,110.0,0.9266700676156674,0.7880724668502808,0.6924819040803826,0.011857620440423489,7.603163242340088,1.1894969786653313,2.1100419083287756
120.0,0.0,120.0,0.7893385856421742,0.6140909790992737,0.685416984251345,0.005694713909178972,8.268754005432129,1.7355490711514416,4.723816627581561
130.0,0.0,130.0,0.6976416586572828,0.4970574975013733,0.7049443312359839,0.0017463208641856909,8.652467727661133,2.0767666236080973,6.847946351938717
140.0,0.0,140.0,0.6226982025689135,0.382335364818573,0.7188178993741172,0.0010699268896132708,8.351107597351074,2.429676832036087,9.015809302548574
150.0,0.0,150.0,0.5856815138508614,0.30967019498348236,0.75600399981308,0.0005156855913810432,8.995118141174316,2.6720183605370633,10.579507171210041
160.0,0.0,160.0,0.5640928981702944,0.25687284767627716,0.7904434924806906,0.00030298411729745567,9.357832908630371,2.940224969420888,12.575758410884985
170.0,0.0,170.0,0.509023033605029,0.22245065867900848,0.7623488300820077,0.00018892886873800308,9.969970703125,3.2262792649225873,15.257230235076783
180.0,0.0,180.0,0.5026373687038616,0.21317731589078903,0.7911690832800705,0.0002834395272657275,9.885992050170898,3.511969290795582,17.345176961178673
190.0,0.0,190.0,0.4988870244745296,0.18414130806922913,0.8186672949535307,0.00035744477645494044,10.446999549865723,3.495635130819833,17.422007991408872
200.0,0.0,200.0,0.47157935191646744,0.15399546921253204,0.8084515759699228,6.103329360485077e-05,10.952704429626465,3.505929842995256,17.38944559492984
210.0,0.0,210.0,0.44838131000031817,0.13736595958471298,0.8054281241638874,0.00012373158824630082,11.351526260375977,3.9837349542077045,22.68187808925023
220.0,0.0,220.0,0.41517402729444536,0.1275285705924034,0.784162300067658,0.00014435203047469258,11.223264694213867,4.204802234610529,25.024258566958473
230.0,0.0,230.0,0.4155877395220741,0.1178119108080864,0.8110896724469407,6.97350042173639e-05,12.266369819641113,4.356875049908626,27.004658910054786
240.0,0.0,240.0,0.4072958055890461,0.11021936312317848,0.805276954218598,0.00014530557382386178,11.700353622436523,4.346275766960086,26.719844789772075
250.0,0.0,250.0,0.3995277465879476,0.09060626477003098,0.8258189617429761,7.283422019099817e-05,11.546721458435059,4.329540226799607,26.21942040309541
260.0,0.0,260.0,0.3914511904028911,0.10918792709708214,0.7942416789890389,7.188061863416806e-05,13.129642486572266,4.720857281893178,32.3546018979258
270.0,0.0,270.0,0.37626028467702854,0.08688436821103096,0.7892068301096353,7.772143726469949e-05,12.236306190490723,4.6255443409601655,30.497766305771272
280.0,0.0,280.0,0.3856271168558658,0.09293126314878464,0.8009444133748516,0.0001102625101339072,12.293212890625,4.536071099400148,28.986780006307896
290.0,0.0,290.0,0.36829419650191475,0.07161751389503479,0.797054736033363,7.652943895664066e-05,11.87378215789795,4.467389373109777,27.805958572508217
300.0,0.0,300.0,0.36262674765154057,0.07921060919761658,0.7961961121384467,7.64102369430475e-05,13.529824256896973,4.923735351429663,34.65058282586003
310.0,0.0,310.0,0.34870833041657145,0.07103230431675911,0.7816335314861123,7.176141662057489e-05,12.347146034240723,4.913431054473162,34.06005023608849
320.0,0.0,320.0,0.3625928973415227,0.07190005853772163,0.802370740405644,7.271502545336261e-05,14.339879989624023,4.795796741916063,33.07184342697599
330.0,0.0,330.0,0.37590830519551965,0.059403399005532265,0.822319549598366,2.276871418871451e-05,13.296113014221191,4.528478308550524,29.376416061087603
340.0,0.0,340.0,0.4069694252964086,0.0664554052054882,0.8690017894844948,4.911301948595792e-05,14.275416374206543,4.1170210447592135,23.423118732399853
350.0,0.0,350.0,0.33200854292973964,0.059021951630711555,0.7679994994764725,1.966933996300213e-05,12.56799030303955,4.913763632816778,34.17532014858067
360.0,0.0,360.0,0.37967439701669026,0.0780339390039444,0.8313678238016312,4.970903682988137e-05,13.463024139404297,4.681867902866673,31.569542884898546
370.0,0.0,370.0,0.3567521832163153,0.05832069739699364,0.8151747409209306,3.433168603805825e-05,13.872953414916992,4.574591840529431,28.94543282792404
380.0,0.0,380.0,0.35129193870778014,0.05747613497078419,0.8052105708380086,2.0503786799963564e-05,12.865415573120117,4.702569825281721,30.953627437968088
390.0,0.0,390.0,0.3337340355323331,0.048446282744407654,0.7969997731387237,3.0278701160568744e-05,12.092127799987793,4.778815837188332,31.55312236280144
400.0,0.0,400.0,0.3384299979774572,0.05511151999235153,0.7878917795964175,2.1457441107486375e-05,13.671299934387207,5.03092528923544,35.97349439903868
410.0,0.0,410.0,0.3337894819684157,0.05107535794377327,0.792541687785088,6.627816765103489e-05,12.41388988494873,4.796238225404763,31.530060872437268
420.0,0.0,420.0,0.3068490097451583,0.049059608951210976,0.7612235906038112,1.3470558769768104e-05,13.276087760925293,5.36466799013318,40.43940685869005
430.0,0.0,430.0,0.300499970741571,0.045035308226943016,0.7590110187414465,2.658331868587993e-05,12.802512168884277,5.453164222076889,41.63995897042561
440.0,0.0,440.0,0.3039682657500488,0.04532335698604584,0.7689808007139072,2.825220326485578e-05,12.578248023986816,5.380859046957153,39.940471037325125
450.0,0.0,450.0,0.2985766030718029,0.03930022194981575,0.7575770910177216,2.407998726994265e-05,13.071086883544922,5.215938038364845,37.77211913935591
460.0,0.0,460.0,0.28982085356809023,0.03949126787483692,0.7517821444559466,2.5987286790041253e-05,12.948528289794922,5.383066767388924,39.66120795908594
470.0,0.0,470.0,0.29258385131131165,0.03570602834224701,0.741469467380954,3.5523738915799186e-05,12.498478889465332,5.33153603366098,39.817563463586936
480.0,0.0,480.0,0.2984532508257199,0.04339105635881424,0.743422403673601,3.290122185717337e-05,12.382577896118164,5.161785119100971,37.258287264111544
490.0,0.0,490.0,0.2931605856986047,0.03932010941207409,0.7423766664685496,2.884823152271565e-05,12.207921981811523,5.203509885593221,37.50952878533285
500.0,0.0,500.0,0.280245651949346,0.03445316664874554,0.7282786232923302,1.0847986231965479e-05,12.761683464050293,5.351448937804657,40.38397801060379
510.0,0.0,510.0,0.2745367906193346,0.03693520836532116,0.7177755178669258,1.645074735279195e-05,12.789905548095703,5.489493253922286,42.3065220369028
520.0,0.0,520.0,0.29807234842505903,0.040173495188355446,0.7689003697663325,2.539125671319198e-05,13.637585639953613,5.3587863892707635,39.820026163127785
530.0,0.0,530.0,0.28627994959353914,0.033847982063889503,0.7443179344602835,1.4305012882687151e-05,13.172072410583496,5.3331387554725,40.192395361070254
540.0,0.0,540.0,0.28546576637158527,0.036431074142456055,0.7557721975431496,2.95634672511369e-05,12.911446571350098,5.399780858639432,39.49968578008597
550.0,0.0,550.0,0.27406031467673114,0.031164437532424927,0.7310166829274957,1.9788545614574105e-05,12.671621322631836,5.401569007369603,40.21498596362159
560.0,0.0,560.0,0.2644687474167617,0.032744280993938446,0.7118516392623735,1.5735502529423684e-05,12.072168350219727,5.598830755551577,42.98259389752069
570.0,0.0,570.0,0.26250961483537116,0.031404756009578705,0.7139753594977453,2.6225699912174605e-05,12.532624244689941,5.648667694947554,43.99906424665433
580.0,0.0,580.0,0.2822083419357148,0.036715349182486534,0.7517014032872691,1.645074735279195e-05,14.178179740905762,5.502156312456038,41.439181771423286
590.0,0.0,590.0,0.27037194746096316,0.03659933805465698,0.7268458164794325,2.3245540432981215e-05,13.276304244995117,5.702453552352126,45.38978399693685
600.0,0.0,600.0,0.2963112555375719,0.03590874560177326,0.779606007751956,2.109982233378105e-05,14.427802085876465,5.3112354295665165,38.530009997965095
610.0,0.0,610.0,0.26140662950664695,0.03842899762094021,0.6958438651219833,7.033323527139146e-06,12.960016250610352,5.773489888902027,47.06713405173544
620.0,0.0,620.0,0.2597191970897205,0.028599489480257034,0.7078334690518365,2.682172998902388e-05,13.389951705932617,5.58306853611293,43.72085453748411
630.0,0.0,630.0,0.25696795621081303,0.034480057656764984,0.6930119374312694,1.9788545614574105e-05,12.643172264099121,5.74112529411788,45.7419550878028
640.0,0.0,640.0,0.24742869525999664,0.03463206812739372,0.6915335758388356,9.894321920000948e-06,12.850930213928223,6.12623105879593,52.14378117269117
650.0,0.0,650.0,0.2496052181057211,0.028979805298149586,0.6907525026171158,2.3245540432981215e-05,13.500832557678223,5.821178074017368,48.1799001093217
660.0,0.0,660.0,0.24571963845654565,0.029243803583085537,0.6767377592360565,1.6689160474925302e-05,12.510575294494629,5.854570868380481,48.511597356394
670.0,0.0,670.0,0.23236557732669558,0.026625052094459534,0.668082074325169,1.8954096958623268e-05,12.990873336791992,6.212214886468132,54.64329737877622
680.0,0.0,680.0,0.23688193507098107,0.024196147918701172,0.6802308516317821,1.2397689715726301e-05,13.24783992767334,5.979829607606181,49.89660552667496
690.0,0.0,690.0,0.24296894220042783,0.02727603353559971,0.6809316423714126,2.074220174108632e-05,12.932814598083496,5.900262680338552,49.25431730854739
700.0,0.0,700.0,0.2362831542597027,0.022069163620471954,0.6781691364300355,8.34461570775602e-06,13.203214645385742,5.985456650786679,51.19606241151698
710.0,0.0,710.0,0.23367402181294894,0.028181827627122402,0.6595688805874234,1.7523612768854946e-05,13.160526275634766,6.103745703278008,52.881250477238574
720.0,0.0,720.0,0.24166990771296995,0.024087811820209026,0.690409912741925,4.529942543740617e-06,14.248222351074219,5.9241958753703505,49.912899533407895
730.0,0.0,730.0,0.23649367906055718,0.027367670089006424,0.6676671205788614,1.1324817933200393e-05,12.449764251708984,6.065429226457504,50.97379640806249
740.0,0.0,740.0,0.23405561618501647,0.022002986632287502,0.6823046804101582,2.288792165927589e-05,13.616037368774414,5.896377601589701,48.1845258130157
750.0,0.0,750.0,0.2531106484969264,0.031155251897871494,0.7053786482790991,4.6491513785440475e-06,14.47339916229248,5.844554027292548,47.717176129629074
760.0,0.0,760.0,0.24098147271767253,0.026072255335748196,0.686073868176103,5.006777428206988e-06,13.89511775970459,5.818321907477516,47.479243120135536
770.0,0.0,770.0,0.22693682603035825,0.0240444615483284,0.6643688688159327,1.1205610462639015e-05,13.198417663574219,6.196313643507052,53.62701904120155
780.0,0.0,780.0,0.22203938372090354,0.021838080137968063,0.6659919726811451,8.106198947643861e-06,13.522782325744629,6.2208290252952265,53.739219058922195
790.0,0.0,790.0,0.2206151786929085,0.025331695564091206,0.6430264651053855,1.597391747054644e-05,12.716156959533691,6.1786007778476995,53.2557357885333
800.0,0.0,800.0,0.20810470202992046,0.02186023909598589,0.6316199877006841,1.7523612768854946e-05,13.315784454345703,6.476812463191825,58.58767218348158
810.0,0.0,810.0,0.21333556511441154,0.0179897453635931,0.6546971284482674,1.3828182090946939e-05,13.937646865844727,6.287988787162424,54.84735231694236
820.0,0.0,820.0,0.2232684240305581,0.019763046875596046,0.6619443152476754,8.940656698541716e-06,13.794221878051758,6.088641749865761,52.130807384339974
830.0,0.0,830.0,0.23256754221391218,0.01937172655016184,0.6742058225280995,8.34461570775602e-06,12.78662395477295,5.848818989312117,48.30925719353397
840.0,0.0,840.0,0.21058844800832413,0.01950535923242569,0.646901230901871,5.006777428206988e-06,13.605506896972656,6.395021439745616,56.412829422226494
850.0,0.0,850.0,0.2141140759231669,0.020739423111081123,0.6552193316299431,4.768360213347478e-06,13.304200172424316,6.384969140489279,57.23628269482106
860.0,0.0,860.0,0.20191250815735778,0.01927718985825777,0.634000348357295,1.1324817933200393e-05,13.502948760986328,6.547821023033492,59.46891681044184
870.0,0.0,870.0,0.20592094305668304,0.016969071701169014,0.6417359739088007,5.364403477869928e-06,13.691039085388184,6.399289687194893,56.96813223592385
880.0,0.0,880.0,0.20082483635166465,0.01532176835462451,0.6298455825324357,1.3828182090946939e-05,12.172369003295898,6.344381172483654,54.913607259177596
890.0,0.0,890.0,0.1986962345378006,0.015409988351166248,0.6214065159074477,1.1324817933200393e-05,12.621986389160156,6.415158919140462,56.586097831444505
900.0,0.0,900.0,0.20297646854203036,0.017901752144098282,0.6254714527136607,5.602820692729438e-06,13.401424407958984,6.315044741745098,55.086162829472876
910.0,0.0,910.0,0.19114694173292654,0.016436181962490082,0.6097231624679131,7.390948667307384e-06,13.608658790588379,6.719024041446238,63.35528585680218
920.0,0.0,920.0,0.20177304933852017,0.01628061570227146,0.6380206094858246,5.006777428206988e-06,13.769309997558594,6.478621582348011,59.1565007540427
930.0,0.0,930.0,0.20108662127948762,0.01495284028351307,0.6301292551700552,7.986990567587782e-06,13.095792770385742,6.3249714712011755,55.510245193307256
